2022-07-01,81
2022-07-02,98
2022-07-03,99
2022-07-04,98
2022-07-05,96
2022-07-06,97
2022-07-07,98
2022-07-08,89
2022-07-09,90
2022-07-10,84
2022-07-11,68
2022-07-12,69
2022-07-13,71
2022-07-14,64
2022-07-15,49
2022-07-16,49
2022-07-17,49
2022-07-18,61
2022-07-19,57
2022-07-20,36
2022-07-21,38
2022-07-22,35
2022-07-23,24
2022-07-24,26
2022-07-25,7
2022-07-26,31
2022-07-27,13
2022-07-28,4
2022-07-29,1
2022-07-30,4
2022-07-31,30
2022-08-01,20
2022-08-02,13
2022-08-03,5
2022-08-04,18
2022-08-05,5
2022-08-06,11
2022-08-07,2
2022-08-08,2
2022-08-09,6
2022-08-10,14
2022-08-11,15
2022-08-12,9
2022-08-13,13
2022-08-14,32
2022-08-15,40
2022-08-16,45
2022-08-17,35
2022-08-18,33
2022-08-19,29
2022-08-20,39
2022-08-21,42
2022-08-22,38
2022-08-23,32
2022-08-24,2
2022-08-25,3
2022-08-26,1
2022-08-27,20
2022-08-28,16
2022-08-29,15
2022-08-30,10
2022-08-31,15
2022-09-01,6
2022-09-02,8
2022-09-03,8
2022-09-04,18
2022-09-05,18
2022-09-06,25
2022-09-07,22
2022-09-08,16
2022-09-09,12
2022-09-10,6
2022-09-11,29
2022-09-12,43
2022-09-13,57
2022-09-14,55
2022-09-15,55
2022-09-16,65
2022-09-17,48
2022-09-18,71
2022-09-19,66
2022-09-20,54
2022-09-21,49
2022-09-22,59
2022-09-23,47
2022-09-24,50
2022-09-25,76
2022-09-26,84
2022-09-27,92
2022-09-28,92
2022-09-29,91
2022-09-30,96
2022-10-01,98
2022-10-02,78
2022-10-03,62
2022-10-04,40
2022-10-05,36
2022-10-06,35
2022-10-07,47
2022-10-08,34
2022-10-09,36
2022-10-10,15
2022-10-11,1
2022-10-12,6
2022-10-13,5
2022-10-14,7
2022-10-15,23
2022-10-16,24
2022-10-17,26
2022-10-18,20
2022-10-19,6
2022-10-20,3
2022-10-21,16
2022-10-22,16
2022-10-23,1
2022-10-24,6
2022-10-25,2
2022-10-26,21
2022-10-27,18
2022-10-28,13
2022-10-29,1
2022-10-30,10
2022-10-31,34
2022-11-01,37
2022-11-02,41
2022-11-03,39
2022-11-04,38
2022-11-05,62
2022-11-06,62
2022-11-07,52
2022-11-08,31
2022-11-09,34
2022-11-10,40
2022-11-11,46
2022-11-12,48
2022-11-13,39
2022-11-14,62
2022-11-15,64
2022-11-16,58
2022-11-17,65
2022-11-18,55
2022-11-19,42
2022-11-20,42
2022-11-21,33
2022-11-22,46
2022-11-23,44
2022-11-24,63
2022-11-25,52
2022-11-26,46
2022-11-27,46
2022-11-28,55
2022-11-29,46
2022-11-30,30
2022-12-01,22
2022-12-02,20
2022-12-03,14
2022-12-04,26
2022-12-05,27
2022-12-06,17
2022-12-07,10
2022-12-08,6
2022-12-09,5
2022-12-10,11
2022-12-11,12
2022-12-12,28
2022-12-13,24
2022-12-14,26
2022-12-15,40
2022-12-16,26
2022-12-17,30
2022-12-18,17
2022-12-19,36
2022-12-20,19
2022-12-21,15
2022-12-22,13
2022-12-23,8
2022-12-24,5
2022-12-25,18
2022-12-26,18
2022-12-27,19
2022-12-28,43
2022-12-29,41
2022-12-30,33
2022-12-31,50
